"year","metier","gear","metier.cm","node_strength","eigen","btwn","btwn_inverted","basic_btwn","deg_norm","pcgroup"
"2011","35",NA,"Tuna","0.0597577830332911","0.0721971612340212","0","0","0","0.333333333333333","Puget Sound"
"2011","60",NA,"Echinoderms","0.0248880096775763","0.0567073704737294","0","0","0","0.111111111111111","Puget Sound"
"2011","20",NA,"Prawns/shrimp","0.394189133715515","0.889821309567528","0","0","0.194444444444444","0.333333333333333","Puget Sound"
"2011","50",NA,"Pacific halibut","0.390383781560509","0.354021308789664","0.472222222222222","0.472222222222222","0","0.444444444444444","Puget Sound"
"2011","1",NA,"DTS groundfish","0.248546207693142","0.203592571440065","0.194444444444444","0.194444444444444","0.555555555555556","0.444444444444444","Puget Sound"
"2011","80",NA,"Other","0.000736367315837354","0.000342839644008681","0","0","0.194444444444444","0.222222222222222","Puget Sound"
"2011","21",NA,"Pink shrimp","0.0221032044291086","0.0499630616355111","0","0","0","0.222222222222222","Puget Sound"
"2011","40",NA,"Herring","0","7.80204277643905e-25","0","0","0","0","Puget Sound"
"2011","30",NA,"Salmon","0.722262990967684","0.935335541772058","0","0","0","0.25","North WA Coast"
"2011","1",NA,"DTS groundfish","1","1","0.5","0.5","0.5","0.75","North WA Coast"
"2011","80",NA,"Other","0.00460207832460911","0.00595972308820445","0","0","0","0.25","North WA Coast"
"2011","60",NA,"Echinoderms","0","2.26656739672058e-23","0","0","0","0","North WA Coast"
"2011","25",NA,"Crab","0.273134930707707","0.35371161416991","0","0","0","0.25","North WA Coast"
"2011","35",NA,"Tuna","0.46385321504222","0.870838102684625","0.285714285714286","0.285714285714286","0.476190476190476","0.857142857142857","WA Coast"
"2011","25",NA,"Crab","0.837941708679954","1","0.904761904761905","0.904761904761905","0","1","WA Coast"
"2011","30",NA,"Salmon","0.094988290900856","0.190378197678243","0","0","0","0.857142857142857","WA Coast"
"2011","45",NA,"Coastal pelagics","0.173404690492056","0.377186441398156","0","0","0.523809523809524","0.857142857142857","WA Coast"
"2011","1",NA,"DTS groundfish","0.185627261375416","0.304656121490807","0","0","0","0.714285714285714","WA Coast"
"2011","21",NA,"Pink shrimp","0.109883936516745","0.231954244498732","0","0","0.714285714285714","0.714285714285714","WA Coast"
"2011","2",NA,"Whiting","0.109943712497736","0.144292365502485","0","0","0","0.714285714285714","WA Coast"
"2011","20",NA,"Prawns/shrimp","0.0243571844950172","0.0542122198445262","0","0","0.285714285714286","0.285714285714286","WA Coast"
"2011","35",NA,"Tuna","NaN","1",NA,NA,"NaN","NaN","Other Coastal Washington"
"2011","30",NA,"Salmon","0.0299384575000312","0.00301098701467692","0","0","0","0.142857142857143","Astoria"
"2011","35",NA,"Tuna","0.134698267708002","0.0497672206057352","0.285714285714286","0.285714285714286","0.285714285714286","0.428571428571429","Astoria"
"2011","1",NA,"DTS groundfish","0.634133027322455","1","0.571428571428571","0.571428571428571","0.476190476190476","0.714285714285714","Astoria"
"2011","25",NA,"Crab","0.245159517818905","0.169759101601863","0.476190476190476","0.476190476190476","0.476190476190476","0.714285714285714","Astoria"
"2011","3",NA,"Non-DTS groundfish","0.59543582350208","0.993696960010804","0.523809523809524","0.523809523809524","0.285714285714286","0.714285714285714","Astoria"
"2011","45",NA,"Coastal pelagics","0.000621957615020134","0.00124896660289914","0","0","0","0.142857142857143","Astoria"
"2011","21",NA,"Pink shrimp","0.221510827671311","0.28458335250854","0.571428571428571","0.571428571428571","0","0.571428571428571","Astoria"
